Id	Name	Gender Designation	Race Designation	ELA Designation	Special Services	Homeroom
1057	"Lucas Rodriguez"	MALE	WH	ABOVE	NO	4
1035	"Lucy Sanchez"	FEMALE	BL	AVERAGE	NO	4
1011	"Luna Walker"	FEMALE	BL	ABOVE	NO	4
1048	"Maya Jenkins"	FEMALE	WH	BELOW	NO	4
1008	"Mia Anderson"	FEMALE	BL	ABOVE	NO	4
1060	"Michael Wilson"	MALE	AS	ABOVE	NO	4
1052	"Noah Johnson"	MALE	BL	ABOVE	NO	4
1001	"Olivia Johnson"	FEMALE	BL	ABOVE	NO	4
1055	"William Martinez"	OTHER	BL	ABOVE	NO	4
1032	"Zoey Evans"	FEMALE	BL	AVERAGE	NO	4
1004	"Amelia Brown"	FEMALE	AS	ABOVE	NO	5
1085	"Anthony Perez"	MALE	BL	AVERAGE	NO	5
1007	"Ava Thompson"	FEMALE	HI	ABOVE	NO	5
1077	"Carter Green"	MALE	BL	AVERAGE	YES	5
1074	"David King"	MALE	BL	AVERAGE	NO	5
1086	"Dylan Roberts"	MALE	BL	AVERAGE	NO	5
1094	"Elias Rogers"	MALE	BL	AVERAGE	NO	5
1014	"Elizabeth Young"	FEMALE	BL	ABOVE	NO	5
1029	"Ellie Phillips"	FEMALE	WH	AVERAGE	YES	5
1018	"Emily King"	FEMALE	WH	AVERAGE	NO	5
1009	"Evelyn Taylor"	FEMALE	BL	ABOVE	NO	5
1088	"Ezra Phillips"	MALE	BL	AVERAGE	NO	5
1021	"Grace Adams"	FEMALE	WH	AVERAGE	NO	5
1080	"Grayson Nelson"	MALE	BL	AVERAGE	NO	5
1010	"Harper White"	FEMALE	AS	ABOVE	NO	5
1072	"Levi Allen"	MALE	BL	AVERAGE	NO	5
1023	"Lily Nelson"	FEMALE	AM	AVERAGE	NO	5
1038	"Natalie Reed"	FEMALE	BL	AVERAGE	NO	5
1026	"Nora Perez"	FEMALE	WH	AVERAGE	YES	5
1069	"Samuel Clark"	MALE	BL	AVERAGE	NO	5
1065	"Sebastian Lee"	MALE	BL	AVERAGE	NO	5
